,down,dist,count,mean,std
0,1.0,0.0,21819,0.829964709657,0.375672408603
1,1.0,1.0,725,0.888275862069,0.315244237568
2,1.0,2.0,778,0.8264781491,0.378941406568
3,1.0,3.0,797,0.820577164366,0.383946929083
4,1.0,4.0,784,0.793367346939,0.40514808198
5,1.0,5.0,2504,0.824680511182,0.380316091388
6,1.0,6.0,852,0.733568075117,0.442352371427
7,1.0,7.0,896,0.671875,0.46979283441
8,1.0,8.0,948,0.701476793249,0.457851753961
9,1.0,9.0,1093,0.684354986276,0.464985003367
10,1.0,10.0,291077,0.734681888298,0.441503206074
11,1.0,11.0,116,0.646551724138,0.480114304231
12,1.0,12.0,120,0.733333333333,0.44407080466
13,1.0,13.0,154,0.688311688312,0.4646944392
14,1.0,14.0,198,0.590909090909,0.492912386875
15,1.0,15.0,5392,0.606268545994,0.488621811762
16,1.0,16.0,206,0.533980582524,0.500059196117
17,1.0,17.0,211,0.545023696682,0.499152972456
18,1.0,18.0,190,0.557894736842,0.497949009814
19,1.0,19.0,208,0.572115384615,0.495965701395
20,1.0,20.0,2269,0.503746143676,0.500096180246
21,1.0,21.0,88,0.636363636364,0.483802424331
22,1.0,22.0,94,0.436170212766,0.498568070833
23,1.0,23.0,57,0.40350877193,0.494962088116
24,1.0,24.0,83,0.409638554217,0.494756520023
25,1.0,25.0,684,0.451754385965,0.498031108439
26,1.0,26.0,30,0.333333333333,0.479463301485
27,1.0,27.0,9,0.777777777778,0.440958551844
28,1.0,28.0,4,0.0,0.0
29,1.0,29.0,7,0.428571428571,0.534522483825
